time;logger;level;message;exception
2011-10-26 10:28:01.5300;Raven.Database.Indexing.IndexStorage;Info;Deleting index Temp/Programs/ByNameSortByName;
2011-10-26 10:28:55.3396;Raven.Database.Server.HttpServer;Debug;Request # 853: GET     -     0 ms - <default>  - 200 - /silverlight/plugins?noCache=-418868878;
2011-10-26 10:28:55.7189;Raven.Database.Server.HttpServer;Debug;Request # 854: GET     -     0 ms - <default>  - 200 - /silverlight/ensureStartup?noCache=769412310;
2011-10-26 10:28:55.7419;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:28:55.7419;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:28:55.7419;Raven.Database.Server.HttpServer;Debug;Request # 855: GET     -     3 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 10:28:56.1016;Raven.Database.Server.HttpServer;Debug;Request # 856: GET     -     1 ms - <default>  - 200 - /databases/?noCache=-1296755134;
2011-10-26 10:28:56.1817;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/WarningMessages' was not found;
2011-10-26 10:28:56.1817;Raven.Database.Server.HttpServer;Debug;Request # 857: GET     -     0 ms - <default>  - 404 - /docs/Raven/WarningMessages;
2011-10-26 10:28:56.6369;Raven.Database.Server.HttpServer;Debug;Request # 858: GET     -     0 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=programs/3073/&noCache=-1229919695;
2011-10-26 10:28:57.3323;Raven.Database.Server.HttpServer;Debug;Request # 859: GET     -     1 ms - <default>  - 200 - /silverlight/ensureStartup?noCache=438303422;
2011-10-26 10:28:57.4099;Raven.Database.Server.HttpServer;Debug;Request # 860: GET     -     0 ms - <default>  - 200 - /build/version;
2011-10-26 10:36:18.2105;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:36:18.2105;Raven.Database.Server.HttpServer;Debug;Request # 861: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:36:18.4195;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Temp%2fPrograms%2fByNameSortByName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fPrograms_2fByNameSortByName : AbstractViewGenerator
{
	public Index_Temp_2fPrograms_2fByNameSortByName()
	{
		this.ViewText = @""from doc in docs.Programs
select new { Name = doc.Name }
"";
		this.ForEntityNames.Add(""Programs"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Programs""
			select new { Name = doc.Name, __document_id = doc.__document_id });
		this.AddField(""Name"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Name"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Name"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fPrograms_2fByNameSortByName : AbstractViewGenerator
{
	public Index_Temp_2fPrograms_2fByNameSortByName()
	{
		this.ViewText = @""from doc in docs.Programs
select new { Name = doc.Name }
"";
		this.ForEntityNames.Add(""Programs"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Programs""
			select new { Name = doc.Name, __document_id = doc.__document_id });
		this.AddField(""Name"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Name"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Name"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2011-10-26 10:36:18.4195;Raven.Database.Indexing.IndexStorage;Info;Creating index Temp/Programs/ByNameSortByName with encoded name Temp/Programs/ByNameSortByName;
2011-10-26 10:36:18.4195;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Temp/Programs/ByNameSortByName;
2011-10-26 10:36:18.4586;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:36:18.4586;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 2 documents for index: Temp/Programs/ByNameSortByName;
2011-10-26 10:36:18.4856;Raven.Database.Indexing.Index.Indexing;Debug;Index 'Temp/Programs/ByNameSortByName' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:programs/3073> indexed,tokenized<Name:ReSharper>>;
2011-10-26 10:36:18.4856;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for Temp/Programs/ByNameSortByName;
2011-10-26 10:36:18.5586;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:36:18.5586;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:36:18.5586;Raven.Database.Server.HttpServer;Debug;Request # 862: GET     -   309 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 10:37:26.1198;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:37:26.1198;Raven.Database.Server.HttpServer;Debug;Request # 863: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:37:26.1369;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:37:26.1369;Raven.Database.Server.HttpServer;Debug;Request # 864: GET     -     0 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 10:42:38.0329;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:42:38.0329;Raven.Database.Server.HttpServer;Debug;Request # 865: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:42:38.0369;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:42:38.0369;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:42:38.0369;Raven.Database.Server.HttpServer;Debug;Request # 866: GET     -     4 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 10:42:38.5980;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:42:38.5980;Raven.Database.Server.HttpServer;Debug;Request # 867: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:42:38.5980;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:42:38.5980;Raven.Database.Server.HttpServer;Debug;Request # 868: GET     -     0 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 10:43:50.4192;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:43:50.4192;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:43:50.4192;Raven.Database.Server.HttpServer;Debug;Request # 869: GET     -     2 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 10:43:50.4232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:43:50.4232;Raven.Database.Server.HttpServer;Debug;Request # 870: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:43:51.5403;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:43:51.5403;Raven.Database.Server.HttpServer;Debug;Request # 871: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:43:51.5403;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:43:51.5403;Raven.Database.Server.HttpServer;Debug;Request # 872: GET     -     0 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 10:45:08.0399;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:45:08.0399;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:45:08.0399;Raven.Database.Server.HttpServer;Debug;Request # 873: GET     -     2 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 10:45:08.0399;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:45:08.0399;Raven.Database.Server.HttpServer;Debug;Request # 874: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:45:09.9091;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:45:09.9091;Raven.Database.Server.HttpServer;Debug;Request # 875: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:45:09.9261;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:45:09.9261;Raven.Database.Server.HttpServer;Debug;Request # 876: GET     -     0 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 10:48:06.5018;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:48:06.5018;Raven.Database.Server.HttpServer;Debug;Request # 877: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:48:06.5508;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:48:06.5508;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:48:06.5508;Raven.Database.Server.HttpServer;Debug;Request # 878: GET     -     5 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 10:48:26.2448;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:48:26.2448;Raven.Database.Server.HttpServer;Debug;Request # 879: GET     -     2 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:48:26.2918;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:48:26.2918;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:48:26.2918;Raven.Database.Server.HttpServer;Debug;Request # 880: GET     -     3 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 10:49:09.0550;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:49:09.0550;Raven.Database.Server.HttpServer;Debug;Request # 881: GET     -     2 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:49:09.1010;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:49:09.1010;Raven.Database.Server.HttpServer;Debug;Request # 882: GET     -     0 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 10:56:48.7767;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:56:48.7767;Raven.Database.Server.HttpServer;Debug;Request # 883: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:56:48.8117;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:56:48.8117;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:56:48.8117;Raven.Database.Server.HttpServer;Debug;Request # 884: GET     -     3 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 10:56:49.8588;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:56:49.8588;Raven.Database.Server.HttpServer;Debug;Request # 885: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:56:49.8638;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:56:49.8638;Raven.Database.Server.HttpServer;Debug;Request # 886: GET     -     0 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 10:59:06.6071;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 10:59:06.6071;Raven.Database.Server.HttpServer;Debug;Request # 887: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 10:59:06.6746;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 10:59:06.6746;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 10:59:06.6746;Raven.Database.Server.HttpServer;Debug;Request # 888: GET     -     3 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 11:10:22.9017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 11:10:22.9017;Raven.Database.Server.HttpServer;Debug;Request # 889: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 11:10:22.9592;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Programs/ByNameSortByName for all documents;
2011-10-26 11:10:22.9592;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 11:10:22.9592;Raven.Database.Server.HttpServer;Debug;Request # 890: GET     -     3 ms - <default>  - 200 - /indexes/dynamic/Programs?query=&start=0&pageSize=128&aggregation=None&fetch=__document_id&fetch=Name&sort=Name;
2011-10-26 11:10:46.1640;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 11:10:46.1640;Raven.Database.Server.HttpServer;Debug;Request # 891: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 11:10:46.1780;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 11:10:46.1780;Raven.Database.Server.HttpServer;Debug;Request # 892: GET     -     0 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 11:11:17.4147;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 11:11:17.4147;Raven.Database.Server.HttpServer;Debug;Request # 893: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 11:11:17.4147;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'programs/3073' was found;
2011-10-26 11:11:17.4147;Raven.Database.Server.HttpServer;Debug;Request # 894: GET     -     1 ms - <default>  - 200 - /docs/programs/3073;
2011-10-26 11:11:17.4897;Raven.Database.DocumentDatabase;Debug;Executing batched commands in a single transaction;
2011-10-26 11:11:17.4897;Raven.Database.DocumentDatabase;Debug;Putting a document with key: programs/3073 and etag ;
2011-10-26 11:11:17.4897;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'programs/3073', update: True, ;
2011-10-26 11:11:17.4897;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands;
